preproc,use_mixup,factor,pc,r2_baseline_mean,r2_aug_mean,delta_r2_mean,delta_r2_std,n,p_aug_frac_lt_0_05
amide3,0,caries_factor,PC1,0.0748528104212465,0.07459873990217654,-0.00025407051906998,0.0011815265613483504,5,0.0
paper_low,0,Parodont,PC4,0.0557370708008821,0.05540314155365046,-0.00033392924723168,0.0007850234985017461,5,0.0
paper_low,0,Anamnes_factor,PC6,0.0360605667446151,0.035693175598301916,-0.0003673911463131218,0.0015158063248089475,5,0.0
amide3,0,Age_factor,PC3,0.1394246613011351,0.13900179455497264,-0.0004228667461625,0.00148157031353511,5,0.0
amide3,0,Gender,PC3,0.0432011160114292,0.042773268831058996,-0.00042784718037024004,0.0007800481968363626,5,0.0
amide3,0,Gender,PC6,0.0177736672776356,0.01727718691313076,-0.0004964803645047999,0.003343760996611747,5,0.0
paper_low,0,caries_factor,PC4,0.24695080782069007,0.24643284397365323,-0.0005179638470368058,0.0009202171316106772,5,0.0
amide3,0,Parodont,PC3,0.1982787029467052,0.19767493487241916,-0.0006037680742860801,0.003460882063404097,5,0.0
paper_full,0,caries_factor,PC7,0.15497062436836684,0.15426834988523502,-0.0007022744831318001,0.0011301685182651513,5,0.0
paper_low,0,caries_factor,PC9,0.0039215751419889,0.00315897879045834,-0.00076259635153058,0.002405612577621639,5,0.0
paper_full,0,caries_factor,PC5,0.14364408266894876,0.14279336785364932,-0.0008507148152993602,0.00321539390897207,5,0.0
paper_full,0,Anamnes_factor,PC5,0.15359510497153434,0.15263756865141734,-0.0009575363201169852,0.004147025958221262,5,0.0
paper_full,0,Parodont,PC5,0.18067751657422862,0.17966915628460672,-0.0010083602896218801,0.0028433915395358438,5,0.0
paper_full,0,Gender,PC6,0.045124163354455696,0.0439259978543583,-0.00119816550009736,0.002347941485252318,5,0.0
paper_full,0,Age_factor,PC9,0.0517423387272133,0.05046196713022172,-0.00128037159699154,0.0009167107631170813,5,0.0
amide3,0,Anamnes_factor,PC2,0.2195272746718968,0.21804769926542797,-0.0014795754064688,0.006793394709087987,5,0.0
paper_full,0,Age_factor,PC5,0.07441701235943268,0.07274545631846824,-0.00167155604096446,0.0027009098699914266,5,0.0
paper_low,0,Gender,PC10,0.091760824191926,0.08882719933807902,-0.0029336248538469204,0.006105215936023903,5,0.0
paper_low,0,Parodont,PC8,0.4008169647744876,0.39781504451561817,-0.0030019202588694002,0.005606148787230451,5,0.0
paper_low,0,caries_factor,PC8,0.3705691320691472,0.36727232412338656,-0.00329680794576062,0.008015310134908409,5,1.0
paper_low,0,Parodont,PC10,0.1775752744187165,0.17402496219731733,-0.0035503122213990995,0.003395788798742908,5,0.0
paper_low,0,Gender,PC9,0.0198224776787082,0.0155395717560638,-0.00428290592264442,0.005679697448014695,5,0.0
paper_full,0,Gender,PC10,0.03135750425866526,0.027061086658793143,-0.00429641759987206,0.0014650100811072235,5,0.0
paper_low,0,Anamnes_factor,PC8,0.2204544943221672,0.214944212836566,-0.0055102814856012,0.010724730976787274,5,0.0
amide3,0,Parodont,PC7,0.21443532644872437,0.20671181045830003,-0.007723515990424379,0.037914427206540875,5,0.0
amide3,0,caries_factor,PC5,0.0856560100698083,0.07766065435890286,-0.00799535571090544,0.00203311048145983,5,0.0
paper_low,0,Age_factor,PC8,0.3011765488899647,0.2930166601351548,-0.008159888754809861,0.00856093748151533,5,1.0
amide3,0,Gender,PC7,0.0323550539532619,0.00976664212154192,-0.022588411831719963,0.009511595625408868,5,0.0
amide3,0,Gender,PC8,0.1227117107125196,0.0978958337501257,-0.024815876962393922,0.09192021449813476,5,0.0
amide3,0,Age_factor,PC10,0.0380116949750282,0.01161010844143252,-0.02640158653359558,0.005433714600567081,5,0.0
amide3,0,caries_factor,PC7,0.0987210849139068,0.06704568714355333,-0.031675397770353476,0.01866105090132065,5,0.0
amide3,0,Parodont,PC10,0.1326525319527135,0.10036793056850328,-0.03228460138421016,0.008104890619782402,5,0.0
amide3,0,caries_factor,PC9,0.1620362052515741,0.08069022909633719,-0.0813459761552369,0.05314671111101149,5,0.0
amide3,0,Anamnes_factor,PC10,0.0977870103161426,0.01166955912394196,-0.08611745119220064,0.0025892345028064147,5,0.0
amide3,0,Age_factor,PC7,0.2126713273773683,0.1142851509006079,-0.09838617647676043,0.04065054445486842,5,0.0
amide3,0,Parodont,PC8,0.24499162307725747,0.09022880139350008,-0.15476282168375738,0.03910287690835626,5,0.0
